Bavarian dialect,German,Meaning,Factual similarity,Grammar differs?,Reasons?
Am 1. Mai 1978 is Höfen zum Moakt Rattelsdorf kumma.,Am 1. Mai 1978 kam Höfen zum Markt Rattelsdorf.,5.0,,True,grammar differs
"Da Eugen mehrmois aus Rom fliehn hot miassn, hot er dort nur an geringa Teil von seim Pontifikat vabrocht.",Eugen musste mehrmals aus Rom fliehen.,3.0,The dialect sentence adds details,False,
Ea fliaßd donoch duach Bourton-on-the-Water und wendd se duat eaneid in sidlicha Richtung.,Er fließt danach durch Bourton-on-the-Water und wendet sich dort erneut in südlicher Richtung.,5.0,,False,
Des Gmoagebiet umfosst a Fläch vo 20 km².,Das Gemeindegebiet umfasst eine Fläche von 20 km².,5.0,,False,
"Ea hod noch da Voikszejung vom IBGE vo 2010 7581.051 Eihwohna, de Paraensa gnennd wean.","Er hat nach der Volkszählung des IBGE von 2010 7.581.051 Einwohner, die Paraenser genannt werden.",5.0,,False,
As Arrondissement Dunkerque is a Vawoitungseihheit van franzesischn Départements Nord innahoib vo da Region Hauts-de-France.,Das Arrondissement Dunkerque ist eine Verwaltungseinheit des französischen Départements Nord innerhalb der Region Hauts-de-France.,5.0,,False,
Deshoib is vom 8. Novemba 1928 bis zum 27. Aprui 1930 de „Echelsbacher Bruck“ fia 900 000 RM baut worn.,Deshalb wurde vom 8. November 1928 bis 27. April 1930 die Echelsbacher Brücke für 900.000 RM gebaut.,5.0,,False,grammar differs
Da nerdliche Wendekroas tangiad ba 23° 27′ neadlicha Broadn an Sidrond vo da Stod.,Der nördliche Wendekreis tangiert bei 23° 27′ nördlicher Breite den Südrand der Stadt.,5.0,,False,
"Da Bau steht im digital'n ""Kulturgüterkataster der Stadt Wien"".",Der Karl-Wrba-Hof ist eine städtische Wohnhausanlage im 10. Wiener Gemeindebezirk Favoriten.,1.0,,False,
Chanu liegt uma siem Kilometa westsidwestli vo Flers.,Chanu liegt etwa sieben Kilometer westsüdwestlich von Flers.,5.0,,False,
As Gebiet um Campbeltown wead aa ois eingständige schottische Whiskyregion gfiahd.,Das Gebiet um Campbeltown wird auch als eigenständige schottische Whiskyregion geführt.,5.0,,False,
"Af diesm Weg duachfliassd ea 'n Mission Trails Regional Park, dea zu de gressdn Stodparks in de Vaoanigtn Stootn zejd.","Auf diesem Weg durchfließt er den Mission Trails Regional Park, der zu den größten Stadtparks in den Vereinigten Staaten zählt.",5.0,,False,
Reistenhausen und Fechenbach san bauli zammgwoxn.,Reistenhausen und Fechenbach sind baulich zusammengewachsen.,5.0,,False,
"De Metropolitanstod Bari (dt.: Metropolitanstadt Bari, (italienisch): Città Metropolitana di Bari) is a Metropolitanstod in da italienischn Region Apulien.","Die Metropolitanstadt Bari (italienisch ""Città Metropolitana di Bari"") ist eine Metropolitanstadt in der italienischen Region Apulien.",4.0,The dialect sentence adds details,False,
De Nochboaorte vo Saviano san: Nola und San Gennaro Vesuviano.,Die Nachbarorte von Saviano sind Nola und San Gennaro Vesuviano.,5.0,,False,
Im Joar 1983 is de Schui gschlossn worn.,Im Jahr 1983 wurde die Schule geschlossen.,5.0,,True,grammar differs
"Es existian de Gemarkunga Huisheim, Gosheim und Lommersheim.","Es gibt die Gemarkungen Huisheim, Gosheim und Lommersheim.",5.0,,False,
Se is Tei vo da Comunità Montana Zona del Lambro e del Mingardo.,Sie ist Teil der Comunità Montana Zona del Lambro e del Mingardo.,5.0,,False,
" महर्षि, &lt; mahā + ṛṣi) is de Bezeichnung vo om geistlichn Wiadnträga in Indien."," महर्षि, &lt; mahā + ṛṣi) ist die Bezeichnung eines geistlichen Würdenträgers in Indien.",,,False,both are incomplete
